Unique ID,Numeric Animal ID,Capture Number,SAT-1,SAT-2,SAT-3
01-0314,1,1,2.2,2.3,1.8
01-0614,1,3,2.3,2.3,1.8
01-0814,1,4,2.0,2.0,1.6
01-1014,1,5,2.1,1.8,1.6
01-1214,1,6,1.9,1.8,1.5
01-0215,1,7,2.3,1.5,2.0
01-0615,1,8,2.0,2.0,2.0
01-0815,1,9,1.8,2.0,2.3
01-1015,1,10,2.1,2.0,1.6
01-1115,1,11,2.30,1.70,1.70
01-0216,1,12,2.30,1.87,1.74
01-0516,1,13,2.2,1.5,1.4
01-0816,1,14,2.4,2,1.5
01-1016,1,15,2.3,1.6,1.4
01-1216,1,16,2.3,1.6,1.9
01-0217,1,17,2,1.9,1.2
01-0517,1,18,,,
01-0817,1,19,,,
02-0314,2,1,1.2,2.3,1.2
02-0614,2,3,1.2,1.2,1.2
03-0314,3,1,,,
03-0614,3,3,2.3,2.3,2.3
03-0814,3,4,2.0,2.3,1.5
03-1014,3,5,1.9,2.3,1.2
03-1214,3,6,2.1,2.2,1.2
03-0215,3,7,2.3,1.7,1.9
03-0615,3,8,2.3,2.3,2.1
03-0815,3,9,2.3,2.3,2.3
03-1015,3,10,2.3,2.3,2.0
03-1115,3,11,2.30,2.30,1.89
03-0216,3,12,2.30,2.30,2.30
03-0516,3,13,2.3,2.4,1.7
03-0816,3,14,2.4,2.3,1.6
03-1016,3,15,2.4,2.3,1.7
03-1216,3,16,2.4,2.1,2
03-0217,3,17,2,2.3,1.7
03-0517,3,18,,,
03-0817,3,19,,,
04-0314,4,1,,,
04-0614,4,3,2.1,2.3,2.3
04-0814,4,4,1.6,2.1,1.8
04-1014,4,5,1.6,2.3,2.3
04-1214,4,6,1.9,2.2,2.0
04-0215,4,7,2.3,1.6,2.3
04-0615,4,8,2.3,2.3,2.3
04-0815,4,9,1.9,2.3,2.3
04-1015,4,10,2.3,2.3,2.0
04-1115,4,11,2.30,2.30,2.03
04-0216,4,12,2.18,2.30,1.92
04-0516,4,13,2.3,2.3,1.8
04-0816,4,14,2.4,2.1,1.5
04-1016,4,15,2.4,2.2,1.7
04-1216,4,16,2.3,1.8,2
04-0217,4,17,2,2.4,2.1
04-0517,4,18,,,
04-0817,4,19,,,
05-0314,5,1,1.3,2.3,1.2
05-0614,5,3,1.8,2.3,1.8
05-0814,5,4,2.3,2.1,1.2
05-1014,5,5,2.3,2.3,1.8
05-1214,5,6,2.3,2.3,1.7
05-0215,5,7,2.3,2.3,2.3
05-0615,5,8,2.3,2.3,2.3
05-0815,5,9,2.3,2.3,2.3
05-1015,5,10,2.3,2.0,2.3
05-1115,5,11,,,
05-0216,5,12,2.30,2.30,2.02
05-0516,5,13,2.2,1.7,1.4
05-0816,5,14,2.3,1.9,1.3
05-1016,5,15,2.4,2.1,1.7
05-1216,5,16,2.4,2,2.4
05-0217,5,17,2,2.3,1.6
05-0517,5,18,,,
05-0817,5,19,,,
06-0314,6,1,1.2,1.6,1.2
06-0614,6,3,2.3,1.6,1.9
06-0814,6,4,2.1,1.2,1.2
06-1014,6,5,2.3,1.2,1.6
07-0314,7,1,1.2,1.8,1.2
07-0614,7,3,2.3,1.8,1.8
08-0314,8,1,1.2,2.3,1.4
08-0614,8,3,2.3,2.3,2.3
08-0814,8,4,2.1,2.3,1.7
08-1014,8,5,2.3,2.3,1.8
08-1214,8,6,2.3,2.3,1.7
08-0215,8,7,2.3,2.3,2.3
08-0615,8,8,2.3,2.3,2.0
08-0815,8,9,2.3,2.3,2.3
08-1015,8,10,2.3,2.3,1.8
08-1115,8,11,2.30,2.30,1.87
08-0216,8,12,2.30,2.30,1.85
08-0516,8,13,2.3,2.3,1.5
08-0816,8,14,2.4,1.9,1.3
08-1016,8,15,2.4,2.4,2
09-0314,9,1,2.3,2.3,2.3
09-0614,9,3,1.2,1.2,1.2
09-0814,9,4,2.3,2.3,2.3
09-1014,9,5,2.3,2.3,2.3
10-0314,10,1,2.2,2.3,1.9
10-0614,10,3,2.3,2.3,1.8
11-0314,11,1,1.2,2.3,1.4
11-0614,11,3,2.3,2.3,1.8
11-0814,11,4,2.3,2.3,2.3
11-1014,11,5,2.3,2.3,2.0
11-1214,11,6,2.3,2.3,2.1
11-0215,11,7,2.3,2.3,2.3
11-0615,11,8,2.3,2.3,2.0
11-0815,11,9,2.3,2.3,2.3
11-1015,11,10,2.3,2.3,2.3
11-1115,11,11,2.30,2.30,2.30
11-0216,11,12,2.30,2.30,2.30
11-0516,11,13,2.3,2.4,1.8
11-0816,11,14,2.4,2.4,1.6
11-1016,11,15,2.4,2.4,1.7
11-1216,11,16,2.4,2.1,2.2
11-0217,11,17,2.3,2.4,2.1
11-0517,11,18,,,
11-0817,11,19,,,
12-0314,12,1,1.2,1.8,1.2
12-0614,12,3,1.9,1.5,1.3
12-0814,12,4,1.2,1.2,1.2
12-1014,12,5,1.9,1.2,1.2
12-1214,12,6,1.4,1.2,1.2
12-0215,12,7,2.3,1.9,1.6
12-0615,12,8,1.8,1.2,1.2
12-0815,12,9,1.8,1.2,1.8
12-1015,12,10,1.7,2.3,1.4
12-1115,12,11,,,
12-0216,12,12,2.30,1.50,1.20
12-0516,12,13,2.2,1.6,1.2
12-0816,12,14,2.3,1.2,1.2
12-1016,12,15,2.4,1.2,1.2
12-1216,12,16,2.3,1.3,1.6
12-0217,12,17,2,1.8,1.2
12-0517,12,18,,,
12-0817,12,19,,,
13-0314,13,1,1.2,2.3,1.5
13-0614,13,3,1.2,1.2,1.2
13-0814,13,4,2.1,2.3,1.5
13-1014,13,5,1.7,1.7,1.2
13-1214,13,6,1.9,1.9,1.2
13-0215,13,7,2.3,2.3,1.8
13-0615,13,8,2.1,2.3,1.7
13-0815,13,9,2.3,2.3,2.3
13-1015,13,10,1.8,1.9,1.5
13-1115,13,11,2.30,1.69,1.66
13-0216,13,12,2.30,1.86,1.49
13-0516,13,13,2.2,2.1,1.4
13-0816,13,14,,,
13-1016,13,15,2.2,1.6,1.2
13-1216,13,16,2.1,1.9,2.2
13-0217,13,17,1.7,1.7,1.2
13-0517,13,18,,,
13-0817,13,19,,,
14-0314,14,1,1.7,2.3,1.2
